scenario,source,check,maximum_violation,passed
no_storage_reference,reference,renewable_balance,1.1368683772161603e-13,True
no_storage_reference,reference,local_load_balance,0.0,True
no_storage_reference,reference,soc_recurrence,0.0,True
no_storage_reference,reference,soc_lower_bound,0.0,True
no_storage_reference,reference,soc_upper_bound,0.0,True
no_storage_reference,reference,terminal_soc,0.0,True
no_storage_reference,reference,charge_power,0.0,True
no_storage_reference,reference,discharge_power,0.0,True
no_storage_reference,reference,grid_import,0.0,True
no_storage_reference,reference,grid_export,0.0,True
no_storage_reference,reference,battery_not_exported,0.0,True
no_storage_reference,reference,terminal_storage_inactive,0.0,True
no_storage_reference,reference,simultaneous_grid_buy_sell,0.0,True
no_storage_reference,reference,simultaneous_charge_discharge,0.0,True
economic_endpoint,endpoint,renewable_balance,1.1368683772161603e-13,True
economic_endpoint,endpoint,local_load_balance,0.0,True
economic_endpoint,endpoint,soc_recurrence,0.0,True
economic_endpoint,endpoint,soc_lower_bound,0.0,True
economic_endpoint,endpoint,soc_upper_bound,0.0,True
economic_endpoint,endpoint,terminal_soc,0.0,True
economic_endpoint,endpoint,charge_power,0.0,True
economic_endpoint,endpoint,discharge_power,0.0,True
economic_endpoint,endpoint,grid_import,0.0,True
economic_endpoint,endpoint,grid_export,0.0,True
economic_endpoint,endpoint,battery_not_exported,0.0,True
economic_endpoint,endpoint,terminal_storage_inactive,0.0,True
economic_endpoint,endpoint,simultaneous_grid_buy_sell,0.0,True
economic_endpoint,endpoint,simultaneous_charge_discharge,0.0,True
grid_endpoint,endpoint,renewable_balance,2.2737367544323206e-13,True
grid_endpoint,endpoint,local_load_balance,0.0,True
grid_endpoint,endpoint,soc_recurrence,0.0,True
grid_endpoint,endpoint,soc_lower_bound,0.0,True
grid_endpoint,endpoint,soc_upper_bound,0.0,True
grid_endpoint,endpoint,terminal_soc,0.0,True
grid_endpoint,endpoint,charge_power,0.0,True
grid_endpoint,endpoint,discharge_power,0.0,True
grid_endpoint,endpoint,grid_import,0.0,True
grid_endpoint,endpoint,grid_export,0.0,True
grid_endpoint,endpoint,battery_not_exported,0.0,True
grid_endpoint,endpoint,terminal_storage_inactive,0.0,True
grid_endpoint,endpoint,simultaneous_grid_buy_sell,-0.0,True
grid_endpoint,endpoint,simultaneous_charge_discharge,0.0,True
grid_epsilon_25,epsilon,renewable_balance,2.2737367544323206e-13,True
grid_epsilon_25,epsilon,local_load_balance,0.0,True
grid_epsilon_25,epsilon,soc_recurrence,2.2737367544323206e-13,True
grid_epsilon_25,epsilon,soc_lower_bound,0.0,True
grid_epsilon_25,epsilon,soc_upper_bound,0.0,True
grid_epsilon_25,epsilon,terminal_soc,0.0,True
grid_epsilon_25,epsilon,charge_power,0.0,True
grid_epsilon_25,epsilon,discharge_power,0.0,True
grid_epsilon_25,epsilon,grid_import,0.0,True
grid_epsilon_25,epsilon,grid_export,0.0,True
grid_epsilon_25,epsilon,battery_not_exported,0.0,True
grid_epsilon_25,epsilon,terminal_storage_inactive,0.0,True
grid_epsilon_25,epsilon,simultaneous_grid_buy_sell,-0.0,True
grid_epsilon_25,epsilon,simultaneous_charge_discharge,0.0,True
grid_epsilon_50,epsilon,renewable_balance,2.2737367544323206e-13,True
grid_epsilon_50,epsilon,local_load_balance,0.0,True
grid_epsilon_50,epsilon,soc_recurrence,0.0,True
grid_epsilon_50,epsilon,soc_lower_bound,0.0,True
grid_epsilon_50,epsilon,soc_upper_bound,0.0,True
grid_epsilon_50,epsilon,terminal_soc,0.0,True
grid_epsilon_50,epsilon,charge_power,0.0,True
grid_epsilon_50,epsilon,discharge_power,0.0,True
grid_epsilon_50,epsilon,grid_import,0.0,True
grid_epsilon_50,epsilon,grid_export,0.0,True
grid_epsilon_50,epsilon,battery_not_exported,0.0,True
grid_epsilon_50,epsilon,terminal_storage_inactive,0.0,True
grid_epsilon_50,epsilon,simultaneous_grid_buy_sell,-0.0,True
grid_epsilon_50,epsilon,simultaneous_charge_discharge,0.0,True
grid_epsilon_75,epsilon,renewable_balance,2.2737367544323206e-13,True
grid_epsilon_75,epsilon,local_load_balance,0.0,True
grid_epsilon_75,epsilon,soc_recurrence,0.0,True
grid_epsilon_75,epsilon,soc_lower_bound,0.0,True
grid_epsilon_75,epsilon,soc_upper_bound,0.0,True
grid_epsilon_75,epsilon,terminal_soc,0.0,True
grid_epsilon_75,epsilon,charge_power,0.0,True
grid_epsilon_75,epsilon,discharge_power,0.0,True
grid_epsilon_75,epsilon,grid_import,0.0,True
grid_epsilon_75,epsilon,grid_export,0.0,True
grid_epsilon_75,epsilon,battery_not_exported,0.0,True
grid_epsilon_75,epsilon,terminal_storage_inactive,0.0,True
grid_epsilon_75,epsilon,simultaneous_grid_buy_sell,-0.0,True
grid_epsilon_75,epsilon,simultaneous_charge_discharge,0.0,True
