check,region,maximum_violation,passed
fixed_it_load_limit,RegionA,0.0,True
fixed_facility_load_limit,RegionA,0.0,True
buy_price_not_below_sell_price,RegionA,0.0,True
fixed_it_load_limit,RegionB,0.0,True
fixed_facility_load_limit,RegionB,0.0,True
buy_price_not_below_sell_price,RegionB,0.0,True
fixed_it_load_limit,RegionC,0.0,True
fixed_facility_load_limit,RegionC,0.0,True
buy_price_not_below_sell_price,RegionC,0.0,True
fixed_it_load_limit,RegionD,0.0,True
fixed_facility_load_limit,RegionD,0.0,True
buy_price_not_below_sell_price,RegionD,0.0,True
fixed_it_load_limit,RegionE,0.0,True
fixed_facility_load_limit,RegionE,0.0,True
buy_price_not_below_sell_price,RegionE,0.0,True
fixed_it_load_limit,RegionF,0.0,True
fixed_facility_load_limit,RegionF,0.0,True
buy_price_not_below_sell_price,RegionF,0.0,True
